t,h,dx,dy,X,Y,FPS
2.7293,20.00,0.00,0.00,0.80,0.27,54
2.7407,20.00,0.00,0.00,0.80,0.27,54
2.7540,20.00,0.00,0.00,0.80,0.27,54
2.7738,20.00,0.00,0.00,0.80,0.27,54
2.7910,20.00,0.00,0.00,0.80,0.27,54
2.8107,20.00,0.00,0.00,0.80,0.27,54
2.8220,20.00,0.00,0.00,0.80,0.27,55
2.8298,20.00,0.00,0.00,0.80,0.27,55
2.8433,20.00,0.00,0.00,0.80,0.27,56
2.8548,20.00,0.00,0.00,0.80,0.27,56
2.8633,20.00,0.00,0.00,0.80,0.27,57
2.9273,20.00,0.00,0.00,0.80,0.27,56
2.9375,20.00,0.00,0.00,0.80,0.27,57
2.9498,20.00,0.00,0.00,0.80,0.27,57
2.9700,20.00,0.00,0.00,0.80,0.27,57
2.9866,20.00,0.00,0.00,0.80,0.27,57
2.9997,20.00,0.00,0.00,0.80,0.27,57
3.0124,20.00,0.00,0.00,0.80,0.27,57
3.0364,20.00,0.00,0.00,0.80,0.27,57
3.0592,20.00,0.00,0.00,0.80,0.27,57
3.0671,20.00,0.00,0.00,0.80,0.27,58
3.0748,20.00,0.00,0.00,0.80,0.27,58
3.0841,20.00,0.00,0.00,0.80,0.27,59
3.1069,20.00,0.00,0.00,0.80,0.27,59
3.1184,20.00,0.00,0.00,0.80,0.27,59
3.1380,20.00,0.00,0.00,0.80,0.27,59
3.1461,20.00,0.00,0.00,0.80,0.27,59
3.1577,20.00,0.00,0.00,0.80,0.27,60
3.2570,20.00,0.00,0.00,0.80,0.27,59
3.2642,20.00,0.00,0.00,0.80,0.27,60
3.2785,20.00,0.00,0.00,0.80,0.27,60
3.2902,20.00,0.00,0.00,0.80,0.27,60
3.3048,20.00,0.00,0.00,0.80,0.27,60
3.3238,20.00,0.00,0.00,0.80,0.27,60
3.3429,20.00,0.00,0.00,0.80,0.27,60
3.4151,20.00,0.00,0.00,0.80,0.27,60
3.4231,20.00,0.00,0.00,0.80,0.27,60
3.4411,20.00,0.00,0.00,0.80,0.27,60
3.4521,20.00,0.00,0.00,0.80,0.27,61
3.5361,20.00,0.00,0.00,0.80,0.27,60
3.5464,20.00,0.00,0.00,0.80,0.27,61
3.5638,20.00,0.00,0.00,0.80,0.27,61
3.5713,20.00,0.00,0.00,0.80,0.27,61
3.6503,20.00,0.00,0.00,0.80,0.27,61
3.6588,20.00,0.00,0.00,0.80,0.27,61
3.7688,20.00,0.00,0.00,0.80,0.27,61
3.7838,20.00,0.00,0.00,0.80,0.27,61
3.8100,20.00,0.00,0.00,0.80,0.27,61
3.8470,20.00,0.00,0.00,0.80,0.27,60
3.9290,20.00,0.00,0.00,0.80,0.27,60
3.9708,20.00,0.00,0.00,0.80,0.27,59
4.0106,20.00,0.00,0.00,0.80,0.27,59
4.0345,20.00,0.00,0.00,0.80,0.27,59
4.0495,20.00,0.00,0.00,0.80,0.27,59
4.0613,20.00,0.00,0.00,0.80,0.27,59
4.0764,20.00,0.00,0.00,0.80,0.27,59
4.0953,20.00,0.00,0.00,0.80,0.27,59
